"","Industry","year","value","rgn_id"
"1","hospitality","1997",164492000,"1"
"2","hospitality","1998",172044000,"1"
"3","hospitality","1999",191396000,"1"
"4","hospitality","2000",210276000,"1"
"5","hospitality","2001",220188000,"1"
"6","hospitality","2002",242608000,"1"
"7","hospitality","2003",253464000,"1"
"8","hospitality","2004",271872000,"1"
"9","hospitality","2005",281312000,"1"
"10","hospitality","2006",294528000,"1"
"11","hospitality","2007",305384000,"1"
"12","hospitality","2008",310812000,"1"
"13","hospitality","2009",301372000,"1"
"14","hospitality","2010",311992000,"1"
"15","hospitality","2011",332052000,"1"
"16","hospitality","2012",348100000,"1"
"17","hospitality","2013",365800000,"1"
"18","hospitality","2014",389636000,"1"
"19","trade","1997",1265432000,"1"
"20","trade","1998",1279828000,"1"
"21","trade","1999",1317824000,"1"
"22","trade","2000",1328208000,"1"
"23","trade","2001",1642088000,"1"
"24","trade","2002",1413168000,"1"
"25","trade","2003",1477596000,"1"
"26","trade","2004",1567748000,"1"
"27","trade","2005",1590876000,"1"
"28","trade","2006",1699436000,"1"
"29","trade","2007",1837496000,"1"
"30","trade","2008",1974376000,"1"
"31","trade","2009",1913016000,"1"
"32","trade","2010",2156568000,"1"
"33","trade","2011",2239404000,"1"
"34","trade","2012",2280468000,"1"
"35","trade","2013",2326016000,"1"
"36","trade","2014",2401536000,"1"
