sector,year,rgn_id,value
fishing,2003,8,242560000
hospitality,2003,8,131840000
transport,2003,8,195760000
fishing,2004,8,260160000
hospitality,2004,8,169680000
transport,2004,8,208160000
fishing,2005,8,267440000
hospitality,2005,8,178080000
transport,2005,8,208160000
fishing,2006,8,290560000
hospitality,2006,8,177600000
transport,2006,8,185760000
fishing,2007,8,258160000
hospitality,2007,8,202000000
transport,2007,8,172560000
fishing,2008,8,249840000
hospitality,2008,8,205040000
transport,2008,8,250720000
fishing,2009,8,264640000
hospitality,2009,8,230240000
transport,2009,8,264000000
fishing,2010,8,272400000
hospitality,2010,8,248080000
transport,2010,8,275760000
fishing,2011,8,309040000
hospitality,2011,8,215760000
transport,2011,8,294880000
fishing,2012,8,288080000
hospitality,2012,8,206560000
transport,2012,8,258640000
fishing,2013,8,313120000
hospitality,2013,8,199840000
transport,2013,8,217600000
fishing,2003,9,60640000
hospitality,2003,9,32960000
transport,2003,9,48940000
fishing,2004,9,65040000
hospitality,2004,9,42420000
transport,2004,9,52040000
fishing,2005,9,66860000
hospitality,2005,9,44520000
transport,2005,9,52040000
fishing,2006,9,72640000
hospitality,2006,9,44400000
transport,2006,9,46440000
fishing,2007,9,64540000
hospitality,2007,9,50500000
transport,2007,9,43140000
fishing,2008,9,62460000
hospitality,2008,9,51260000
transport,2008,9,62680000
fishing,2009,9,66160000
hospitality,2009,9,57560000
transport,2009,9,66000000
fishing,2010,9,68100000
hospitality,2010,9,62020000
transport,2010,9,68940000
fishing,2011,9,77260000
hospitality,2011,9,53940000
transport,2011,9,73720000
fishing,2012,9,72020000
hospitality,2012,9,51640000
transport,2012,9,64660000
fishing,2013,9,78280000
hospitality,2013,9,49960000
transport,2013,9,54400000
