sector,year,value,rgn_id
fishing,2008,4.53E+09,6
fishing,2009,5.86E+09,6
fishing,2010,8.27E+09,6
fishing,2011,7.15E+09,6
fishing,2012,6.22E+09,6
fishing,2013,9.05E+09,6
hospitality,2008,2.35E+09,6
hospitality,2009,2.40E+09,6
hospitality,2010,2.46E+09,6
hospitality,2011,2.65E+09,6
hospitality,2012,2.81E+09,6
hospitality,2013,2.99E+09,6
tourism,2008,2.66E+09,6
tourism,2009,2.62E+09,6
tourism,2010,2.96E+09,6
tourism,2011,3.37E+09,6
tourism,2012,3.41E+09,6
tourism,2013,3.44E+09,6
transport,2008,1.41E+08,6
transport,2009,1.10E+08,6
transport,2010,1.84E+08,6
transport,2011,2.10E+08,6
transport,2012,2.29E+08,6
transport,2013,1.62E+08,6
education,2008,4.90E+07,5
education,2009,5.60E+07,5
education,2010,1.52E+08,5
education,2011,1.06E+08,5
education,2012,1.18E+08,5
education,2013,1.41E+08,5
hospitality,2008,1.12E+08,5
hospitality,2009,1.02E+08,5
hospitality,2010,9.70E+07,5
hospitality,2011,1.03E+08,5
hospitality,2012,1.03E+08,5
hospitality,2013,1.26E+08,5
tourism,2008,1.80E+07,5
tourism,2009,1.70E+07,5
tourism,2010,3.30E+07,5
tourism,2011,3.10E+07,5
tourism,2012,2.20E+07,5
tourism,2013,4.00E+07,5
transport,2008,6.40E+07,5
transport,2009,4.50E+07,5
transport,2010,6.40E+07,5
transport,2011,8.30E+07,5
transport,2012,8.00E+07,5
transport,2013,8.80E+07,5
