sector,year,value,rgn_id
transport,2004,211600000,3
tourism,2004,7800000,3
hospitality,2004,74500000,3
transport,2005,253700000,3
tourism,2005,7400000,3
hospitality,2005,7.20E+07,3
transport,2006,239100000,3
tourism,2006,6900000,3
hospitality,2006,71700000,3
transport,2007,244700000,3
tourism,2007,7200000,3
hospitality,2007,73200000,3
transport,2008,243200000,3
tourism,2008,7.00E+06,3
hospitality,2008,76400000,3
transport,2009,219300000,3
tourism,2009,7200000,3
hospitality,2009,66900000,3
transport,2010,224400000,3
tourism,2010,7500000,3
hospitality,2010,66100000,3
transport,2011,224300000,3
tourism,2011,7300000,3
hospitality,2011,64100000,3
transport,2012,239800000,3
tourism,2012,7100000,3
hospitality,2012,63400000,3
transport,2013,234600000,3
tourism,2013,7400000,3
hospitality,2013,62900000,3
fishing,2004,2300000,2
transport,2004,41200000,2
hospitality,2004,23600000,2
fishing,2005,2300000,2
transport,2005,36800000,2
hospitality,2005,20600000,2
fishing,2006,1800000,2
transport,2006,38900000,2
hospitality,2006,19800000,2
fishing,2007,2300000,2
transport,2007,33900000,2
hospitality,2007,20600000,2
fishing,2008,2400000,2
transport,2008,37500000,2
hospitality,2008,2.10E+07,2
fishing,2009,3200000,2
transport,2009,34200000,2
hospitality,2009,21100000,2
fishing,2010,2700000,2
transport,2010,39900000,2
hospitality,2010,21500000,2
fishing,2011,2600000,2
transport,2011,4.60E+07,2
hospitality,2011,26200000,2
fishing,2012,2700000,2
transport,2012,46500000,2
hospitality,2012,23300000,2
fishing,2013,2700000,2
transport,2013,48200000,2
hospitality,2013,22500000,2
