 , AVERAGE WEEKLY EARNINGS Other Provinces & Territories.  Estimated Employee Earnings. Seasonally unadjusted., ,
 ,  , Nunavut, 
 ,  , DOLLARS , 
 Monthly, , V1560746, 
2001, January,865.72, 
2001, February,865.92, 
2001, March,883.76, 
2001, April,858.75, 
2001, May,851.89, 
2001, June,856.53, 
2001, July,868.28, 
2001, August,866.61, 
2001, September,879.64, 
2001, October,880.86, 
2001, November,882.05, 
2001, December,878.74,869.8958333
2002, January,875.36, 
2002, February,869.08, 
2002, March,913.42, 
2002, April,922.51, 
2002, May,894.6, 
2002, June,874.06, 
2002, July,900.98, 
2002, August,887.6, 
2002, September,874.81, 
2002, October,875.13, 
2002, November,905.61, 
2002, December,895.16,890.6933333
2003, January,907.29, 
2003, February,887.41, 
2003, March,905.72, 
2003, April,903.3, 
2003, May,898.89, 
2003, June,901.72, 
2003, July,926.68, 
2003, August,924.01, 
2003, September,909.11, 
2003, October,894.5, 
2003, November,923.63, 
2003, December,917.95,908.3508333
2004, January,918.23, 
2004, February,906.83, 
2004, March,922.85, 
2004, April,916.28, 
2004, May,938.26, 
2004, June,940.17, 
2004, July,949.06, 
2004, August,955.23, 
2004, September,946.76, 
2004, October,943.01, 
2004, November,928.95, 
2004, December,923.45,932.4233333
2005, January,970.31, 
2005, February,949.44, 
2005, March,947.56, 
2005, April,973.72, 
2005, May,1000.16, 
2005, June,988.01, 
2005, July,988.69, 
2005, August,973.76, 
2005, September,968.17, 
2005, October,973.88, 
2005, November,973.49, 
2005, December,952.85,971.67
2006, January,984.68, 
2006, February,956.94, 
2006, March,981.54, 
2006, April,990.42, 
2006, May,1013.22, 
2006, June,1023.1, 
2006, July,1052.44, 
2006, August,1031.84, 
2006, September,1022.52, 
2006, October,1012.83, 
2006, November,983.18, 
2006, December,997.69,1004.2
2007, January,1030.54, 
2007, February,1029.02, 
2007, March,1073.18, 
2007, April,1073.87, 
2007, May,1055.11, 
2007, June,1066.45, 
2007, July,1119.09, 
2007, August,1095.32, 
2007, September,1073.44, 
2007, October,1056.22, 
2007, November,1059.52, 
2007, December,1075.64,1067.283333
2008, January,1066.86, 
2008, February,1062.45, 
2008, March,1088.36, 
2008, April,1053.67, 
2008, May,1049.88, 
2008, June,1048.85, 
2008, July,1090.98, 
2008, August,1081.57, 
2008, September,1062.5, 
2008, October,1058.36, 
2008, November,1066.84, 
2008, December,1049.41,1064.9775
2009, January,1020.79, 
2009, February,1043.48, 
2009, March,1057.66, 
2009, April,1059.35, 
2009, May,1063.05, 
2009, June,1074.21, 
2009, July,1060.47, 
2009, August,1047.19, 
2009, September,1045.71, 
2009, October,1032.02, 
2009, November,1051.38, 
2009, December,1062.13,1051.453333
2010, January,1020.57, 
2010, February,1050.77, 
2010, March,1045.61, 
2010, April,1032.1, 
2010, May,998.95, 
2010, June,1062.26, 
2010, July,1089.88, 
2010, August,1035.35, 
2010, September,1058.08, 
2010, October,1067.22, 
2010, November,1073.58, 
2010, December,1058.68,1049.420833
2011, January,1035.38, 
2011, February,1014.33, 
2011, March,1074.54, 
2011, April,1054.49, 
2011, May,1070.21, 
2011, June,1075.83, 
2011, July,1120.53, 
2011, August,1127.45, 
2011, September,1079.16, 
2011, October,1105.25, 
2011, November,1102.6, 
2011, December,1117.84,1081.4675
2012, January,1103.76, 
2012, February,1115.69, 
2012, March,1129.76, 
2012, April,1138.67, 
2012, May,1106.15, 
2012, June,1123.22, 
2012, July,1124.39, 
2012, August,1170.82, 
2012, September,1119.34, 
2012, October,1139.64, 
2012, November,1146.54, 
2012, December,1086.43,1125.3675
2013, January,1113.87, 
2013, February,1164.79, 
2013, March,1140.57, 
2013, April,1136.33, 
2013, May,1154.51, 
2013, June,1192.04, 
2013, July,1176.68, 
2013, August,1220.44, 
2013, September,1185.25, 
2013, October,1151.95, 
2013, November,1230, 
2013, December,1258.38,1177.0675
2014, January,1162.56, 
2014, February,1195.21, 
2014, March,1212.43, 
2014, April,1186.9, 
2014, May,1203.21, 
2014, June,1235.04, 
2014, July,1269.74, 
2014, August,1287, 
2014, September,1282.82, 
2014, October,1256.4, 
2014, November,1286.29, 
2014, December,1265.22,1236.901667
2015, January,1246.83, 
2015, February,1192.84, 
2015, March,1213.55, 
2015, April,1220.45, 
2015, May,1221.83, 
2015, June,1244.2, 
2015, July,1278.03, 
2015, August,1250.62, 
2015, September,1298.17, 
2015, October,1290.95, 
2015, November,1311.35, 
2015, December,1289.36,1254.848333
2016, January,1241.31, 
2016, February,1235.92, 
2016, March,1250.94, 
2016, April,1265.73, 
2016, May, , 
2016, June, , 
2016, July, , 
2016, August, , 
2016, September, , 
2016, October, , 
2016, November, , 
2016, December, , 
