"","Region","Year","Marine.Jobs"
"1","Beaufort","2001",483
"2","Beaufort","2002",568
"3","Beaufort","2003",596
"4","Beaufort","2004",611
"5","Beaufort","2005",611
"6","Beaufort","2006",540
"7","Beaufort","2007",554
"8","Beaufort","2008",568
"9","Beaufort","2009",469
"10","Beaufort","2010",483
"11","Beaufort","2011",596
"12","Beaufort","2012",525
"13","Beaufort","2013",525
"14","Beaufort","2014",454
"15","Beaufort","2015",469
"16","Nunavut","2008",1230
"17","Nunavut","2009",1000
"18","Nunavut","2010",1275
"19","Nunavut","2011",1391
"20","Nunavut","2012",1641
"21","Nunavut","2013",1899
"22","Nunavut","2014",1350
