"","District","Year","Marine.Jobs"
"1","Arhangelsk Region","2010",116800
"2","Arhangelsk Region","2011",116000
"3","Arhangelsk Region","2012",115300
"4","Arhangelsk Region","2013",114200
"5","Arhangelsk Region","2014",112700
"6","Chukotka","2010",9799
"7","Chukotka","2011",9843
"8","Chukotka","2012",9447
"9","Chukotka","2013",8480
"10","Chukotka","2014",7997
"11","Krasnoyarsk","2010",3203
"12","Krasnoyarsk","2011",3178
"13","Krasnoyarsk","2012",3151
"14","Krasnoyarsk","2013",3152
"15","Krasnoyarsk","2014",3047
"16","Murmansk Region","2010",62500
"17","Murmansk Region","2011",62400
"18","Murmansk Region","2012",61800
"19","Murmansk Region","2013",59600
"20","Murmansk Region","2014",58800
"21","Sakha","2010",1025
"22","Sakha","2011",1044
"23","Sakha","2012",1048
"24","Sakha","2013",1052
"25","Sakha","2014",1056
"26","Yamal-Nenets-Autonomous Okrug","2010",46900
"27","Yamal-Nenets-Autonomous Okrug","2011",49700
"28","Yamal-Nenets-Autonomous Okrug","2012",52800
"29","Yamal-Nenets-Autonomous Okrug","2013",55200
"30","Yamal-Nenets-Autonomous Okrug","2014",55100
