"","rgn_id","sector","year","usd"
"1",1,"tourism",1997,242971935.007386
"2",1,"transport",1997,1869175775.48006
"3",1,"tourism",1998,250063953.488372
"4",1,"transport",1998,1860215116.27907
"5",1,"tourism",1999,272256045.519203
"6",1,"transport",1999,1874571834.99289
"7",1,"tourism",2000,289237964.236589
"8",1,"transport",2000,1826971114.16781
"9",1,"tourism",2001,294763052.208835
"10",1,"transport",2001,2198243641.23159
"11",1,"tourism",2002,319641633.72859
"12",1,"transport",2002,1861881422.9249
"13",1,"tourism",2003,326628865.979381
"14",1,"transport",2003,1904118556.70103
"15",1,"tourism",2004,341119196.988708
"16",1,"transport",2004,1967061480.55207
"17",1,"tourism",2005,341398058.252427
"18",1,"transport",2005,1930674757.28155
"19",1,"tourism",2006,346096357.226792
"20",1,"transport",2006,1996987074.03055
"21",1,"tourism",2007,349010285.714286
"22",1,"transport",2007,2099995428.57143
"23",1,"tourism",2008,342303964.757709
"24",1,"transport",2008,2174422907.48899
"25",1,"tourism",2009,333007734.80663
"26",1,"transport",2009,2113829834.25414
"27",1,"tourism",2010,339121739.130435
"28",1,"transport",2010,2344095652.17391
"29",1,"tourism",2011,349896733.403583
"30",1,"transport",2011,2359751317.17597
"31",1,"tourism",2012,359236326.109391
"32",1,"transport",2012,2353424148.60681
"33",1,"tourism",2013,372126144.455748
"34",1,"transport",2013,2366242115.97152
"35",1,"tourism",2014,390026026.026026
"36",1,"transport",2014,2403939939.93994
"37",2,"fishing",2004,2341088.09033877
"38",2,"tourism",2004,24021599.5357591
"39",2,"transport",2004,41936012.7478043
"40",2,"fishing",2005,2299901.89563107
"41",2,"tourism",2005,20599121.3228155
"42",2,"transport",2005,36798430.3276699
"43",2,"fishing",2006,1752379.31844888
"44",2,"tourism",2006,19276172.5029377
"45",2,"transport",2006,37870864.1480611
"46",2,"fishing",2007,2165559.62285714
"47",2,"tourism",2007,19395881.84
"48",2,"transport",2007,31918465.7371429
"49",2,"fishing",2008,2141277.72136564
"50",2,"tourism",2008,18736180.0550661
"51",2,"transport",2008,33457464.3942731
"52",2,"fishing",2009,2939472.13038674
"53",2,"tourism",2009,19382144.3646409
"54",2,"transport",2009,31415608.3977901
"55",2,"fishing",2010,2405861.23369565
"56",2,"tourism",2010,19157783.9021739
"57",2,"transport",2010,35553282.6847826
"58",2,"fishing",2011,2209627.54162276
"59",2,"tourism",2011,22266246.7650158
"60",2,"transport",2011,39093410.3477345
"61",2,"fishing",2012,2238761.07843137
"62",2,"tourism",2012,19319678.9370485
"63",2,"transport",2012,38556440.7843137
"64",2,"fishing",2013,2259738.27466938
"65",2,"tourism",2013,18831152.2889115
"66",2,"transport",2013,40340512.8992879
"67",3,"tourism",2004,11895373.9473024
"68",3,"transport",2004,30583974.8180678
"69",3,"tourism",2005,11250320.1067961
"70",3,"transport",2005,36023863.3616505
"71",3,"tourism",2006,10865920.0246769
"72",3,"transport",2006,33053962.8202115
"73",3,"tourism",2007,10749461.3462857
"74",3,"transport",2007,32716333.2228571
"75",3,"tourism",2008,10566134.9151982
"76",3,"transport",2008,30811558.8876652
"77",3,"tourism",2009,9665535.5160221
"78",3,"transport",2009,28605289.3259668
"79",3,"tourism",2010,9312643.30652174
"80",3,"transport",2010,28393439.6521739
"81",3,"tourism",2011,8616527.58482613
"82",3,"transport",2011,27068447.3024236
"83",3,"tourism",2012,8300828.5748194
"84",3,"transport",2012,28234591.3828689
"85",3,"tourism",2013,53522989.0539166
"86",3,"transport",2013,27881152.9908444
"87",4,"fishing",2008,1422570075.99119
"88",4,"tourism",2008,833516504.185022
"89",4,"transport",2008,9312686757.70925
"90",4,"fishing",2009,1608057625.41436
"91",4,"tourism",2009,787781295.690608
"92",4,"transport",2009,9040632487.29282
"93",4,"fishing",2010,1414943733.69565
"94",4,"tourism",2010,803751519.347826
"95",4,"transport",2010,9845912517.3913
"96",4,"fishing",2011,1580338852.47629
"97",4,"tourism",2011,794047861.74921
"98",4,"transport",2011,9973787761.85458
"99",4,"fishing",2012,1544924520.12384
"100",4,"tourism",2012,843442973.78741
"101",4,"transport",2012,12139356892.6729
"102",4,"fishing",2013,1578669463.88606
"103",4,"tourism",2013,847413978.128179
"104",4,"transport",2013,11376026211.5972
"105",4,"fishing",2014,1988672263.26326
"106",4,"tourism",2014,860361243.343343
"107",4,"transport",2014,11491803015.015
"108",5,"education",2008,6165936.55947137
"109",5,"tourism",2008,16358607.2026432
"110",5,"transport",2008,8053468.15859031
"111",5,"education",2009,6907231.3801105
"112",5,"tourism",2009,14677866.6850829
"113",5,"transport",2009,5550453.7878453
"114",5,"education",2010,18342410.4565217
"115",5,"tourism",2010,15687587.8913043
"116",5,"transport",2010,7723120.19456522
"117",5,"education",2011,12431571.1064278
"118",5,"tourism",2011,15715382.3393045
"119",5,"transport",2011,9734154.7312961
"120",5,"education",2012,13479071.3622291
"121",5,"tourism",2012,14278677.2961816
"122",5,"transport",2012,9138353.46749226
"123",5,"education",2013,15852085.7273652
"124",5,"tourism",2013,18662739.2268566
"125",5,"transport",2013,9893500.31230926
"126",6,"fishing",2008,570034543.171806
"127",6,"tourism",2008,630435554.295154
"128",6,"transport",2008,17742797.0374449
"129",6,"fishing",2009,722792426.519337
"130",6,"tourism",2009,619183955.801105
"131",6,"transport",2009,13567775.9226519
"132",6,"fishing",2010,997971937.608696
"133",6,"tourism",2010,654051741.413043
"134",6,"transport",2010,22203970.5543478
"135",6,"fishing",2011,838544654.583773
"136",6,"tourism",2011,706019415.489989
"137",6,"transport",2011,24628584.2571128
"138",6,"fishing",2012,710506982.146543
"139",6,"tourism",2012,710506982.146543
"140",6,"transport",2012,26158536.8008256
"141",6,"fishing",2013,1017456566.63276
"142",6,"tourism",2013,722900079.65412
"143",6,"transport",2013,18213034.6693795
"144",7,NA,NA,NA
"145",8,"fishing",2003,47448818.9948454
"146",8,"tourism",2003,25790123.2474227
"147",8,"transport",2003,38293951.2113402
"148",8,"fishing",2004,54485228.3186951
"149",8,"tourism",2004,35536029.9121706
"150",8,"transport",2004,43594884.404015
"151",8,"fishing",2005,54121723.8228155
"152",8,"tourism",2005,36037977.038835
"153",8,"transport",2005,42125254.381068
"154",8,"fishing",2006,57414887.2502938
"155",8,"tourism",2006,35093901.3513514
"156",8,"transport",2006,36706323.8425382
"157",8,"fishing",2007,54198422.9142857
"158",8,"tourism",2007,42408124.5371429
"159",8,"transport",2007,36227455.2914286
"160",8,"fishing",2008,53971581.7511013
"161",8,"tourism",2008,44293680.4405286
"162",8,"transport",2008,54161683.3810573
"163",8,"fishing",2009,54547129.7237569
"164",8,"tourism",2009,47456662.4419889
"165",8,"transport",2009,54415214.0552486
"166",8,"fishing",2010,52646338.5543478
"167",8,"tourism",2010,47946048.7173913
"168",8,"transport",2010,53295720.7065217
"169",8,"fishing",2011,60656648.8935722
"170",8,"tourism",2011,42348170.3477345
"171",8,"transport",2011,57877403.0031612
"172",8,"fishing",2012,51324546.7698658
"173",8,"tourism",2012,36800883.0237358
"174",8,"transport",2012,46079494.5098039
"175",8,"fishing",2013,56716064.6388606
"176",8,"tourism",2013,36197427.0498474
"177",8,"transport",2013,39414332.0956256
"178",9,"fishing",2003,11862204.7487113
"179",9,"tourism",2003,6447530.81314433
"180",9,"transport",2003,9573487.80283505
"181",9,"fishing",2004,13621307.076537
"182",9,"tourism",2004,8884007.47678795
"183",9,"transport",2004,10898721.1003764
"184",9,"fishing",2005,13530430.9587379
"185",9,"tourism",2005,9009494.25849515
"186",9,"transport",2005,10531313.5946602
"187",9,"fishing",2006,14353721.8096357
"188",9,"tourism",2006,8773475.33725029
"189",9,"transport",2006,9176580.96122209
"190",9,"fishing",2007,13549605.7257143
"191",9,"tourism",2007,10602031.1325714
"192",9,"transport",2007,9056863.82285714
"193",9,"fishing",2008,13492895.4405286
"194",9,"tourism",2008,11073420.1101322
"195",9,"transport",2008,13540420.8480176
"196",9,"fishing",2009,13636782.4309392
"197",9,"tourism",2009,11864165.6132597
"198",9,"transport",2009,13603803.5138122
"199",9,"fishing",2010,13161584.6413043
"200",9,"tourism",2010,11986512.173913
"201",9,"transport",2010,13323930.173913
"202",9,"fishing",2011,15164162.223393
"203",9,"tourism",2011,10587042.5922023
"204",9,"transport",2011,14469350.748156
"205",9,"fishing",2012,12831136.6976264
"206",9,"tourism",2012,9200220.75541796
"207",9,"transport",2012,11519873.622291
"208",9,"fishing",2013,14179016.1648016
"209",9,"tourism",2013,9049356.7629705
"210",9,"transport",2013,9853583.02441506
