rgn_id,year,value
1,2000,14593
1,2001,14356
1,2002,14465
1,2003,14501
1,2004,14458
1,2005,14217
1,2006,14134
1,2007,14090
1,2008,14078
1,2009,14193
1,2010,16953
1,2011,17213
1,2012,17418
1,2013,17673
1,2014,17539
1,2015,17762
2,2001,28134
2,2002,28822
2,2003,29322
2,2004,29857
2,2005,30339
2,2006,30812
2,2007,31395
2,2008,31892
2,2009,32600
2,2010,33353
2,2011,34196
2,2012,34729
2,2013,35435
2,2014,36083
2,2015,36919
3,2001,5800
3,2002,5921
3,2003,6048
3,2004,6149
3,2005,6163
3,2006,6131
3,2007,6159
3,2008,6156
3,2009,6127
3,2010,6145
3,2011,6177
3,2012,6198
3,2013,6232
3,2014,6245
3,2015,6260
4,2010,2878481
4,2011,2880477
4,2012,2892177
4,2013,2897177
4,2014,2895177
4,2015,2895577
5,2000,2376
5,2001,2616
5,2002,2529
5,2003,2489
5,2004,2375
5,2005,2400
5,2006,2266
5,2007,2338
5,2008,2449
5,2009,2565
5,2010,2481
5,2011,2394
5,2012,2504
5,2013,2637
5,2014,2546
5,2015,2666
6,2000,464328
6,2001,464159
6,2002,462908
6,2003,462711
6,2004,462895
6,2005,462640
6,2006,462779
6,2007,462237
6,2008,462037
6,2009,463425
6,2010,465621
6,2011,468251
6,2012,470757
6,2013,474563
6,2014,478134
6,2015,480740
7,NA,NA
8,2000,44899
8,2001,44996
8,2002,45234
8,2003,45341
8,2004,45483
8,2005,45575
8,2006,45521
8,2007,45318
8,2008,45170
8,2009,44955
8,2010,45162
8,2011,45292
8,2012,45399
8,2013,45096
8,2014,45026
8,2015,44787
9,2000,11225
9,2001,11249
9,2002,11308
9,2003,11335
9,2004,11371
9,2005,11394
9,2006,11380
9,2007,11330
9,2008,11292
9,2009,11239
9,2010,11290
9,2011,11323
9,2012,11350
9,2013,11274
9,2014,11256
9,2015,11197
