"","sector","year","rgn_id","value"
"1","fishing",2010,"4",25616.4103125721
"2","transport",2010,"4",25616.4103125721
"3","fishing",2011,"4",25009.034824565
"4","transport",2011,"4",25009.034824565
"5","fishing",2012,"4",27377.0663331857
"6","transport",2012,"4",27377.0663331857
"7","fishing",2013,"4",26452.5026613459
"8","transport",2013,"4",26452.5026613459
"9","fishing",2014,"4",26671.5312570537
"10","transport",2014,"4",26671.5312570537
"11","transport",2009,"5",47552.5877481986
"12","education",2009,"5",48758.1463108289
"13","transport",2010,"5",48893.1431696479
"14","education",2010,"5",50625.0528732049
"15","transport",2011,"5",50751.7717488037
"16","education",2011,"5",52220.9019836374
"17","transport",2012,"5",52200.6052879346
"18","education",2012,"5",54724.2986733564
"19","transport",2013,"5",53842.8571018088
"20","education",2013,"5",55566.8894720637
"21","transport",2014,"5",53805.7049028897
"22","education",2014,"5",55860.3380256731
"23","fishing",2009,"6",46748.8820397783
"24","transport",2009,"6",47552.5877481986
"25","fishing",2010,"6",47827.3525828436
"26","transport",2010,"6",48893.1431696479
"27","fishing",2011,"6",50217.5425725005
"28","transport",2011,"6",50751.7717488037
"29","fishing",2012,"6",51005.1715790506
"30","transport",2012,"6",52200.6052879346
"31","fishing",2013,"6",52649.2962300938
"32","transport",2013,"6",53842.8571018088
"33","fishing",2014,"6",53805.7049028897
"34","transport",2014,"6",53805.7049028897
"35","fishing",2008,"8",37959.4024411235
"36","transport",2008,"8",37959.4024411235
"37","fishing",2008,"9",37959.4024411235
"38","transport",2008,"9",37959.4024411235
"39","fishing",2009,"8",37029.4604106301
"40","transport",2009,"8",37029.4604106301
"41","fishing",2009,"9",37029.4604106301
"42","transport",2009,"9",37029.4604106301
"43","fishing",2010,"8",35884.4787809551
"44","transport",2010,"8",35884.4787809551
"45","fishing",2010,"9",35884.4787809551
"46","transport",2010,"9",35884.4787809551
"47","fishing",2011,"8",38621.7435309852
"48","transport",2011,"8",38621.7435309852
"49","fishing",2011,"9",38621.7435309852
"50","transport",2011,"9",38621.7435309852
"51","fishing",2012,"8",36793.5951800221
"52","transport",2012,"8",36793.5951800221
"53","fishing",2012,"9",36793.5951800221
"54","transport",2012,"9",36793.5951800221
"55","fishing",2013,"8",38690.6945593585
"56","transport",2013,"8",38690.6945593585
"57","fishing",2013,"9",38690.6945593585
"58","transport",2013,"9",38690.6945593585
"59","transport",2014,"1",61523.2
"60","transport",2013,"1",61661.88
"61","transport",2012,"1",61080.43
"62","transport",2011,"1",57992.67
"63","transport",2010,"1",56823.51
"64","transport",2009,"1",63663.85
"65","transport",2008,"1",58216.31
"66","transport",2007,"1",56591.56
"67","transport",2006,"1",54890.33
"68","transport",2005,"1",52934.55
"69","transport",2004,"1",49153.76
"70","fishing",2008,"2",47297.4667649608
"71","transport",2008,"2",47297.4667649608
"72","fishing",2009,"2",50757.3070902406
"73","transport",2009,"2",50757.3070902406
"74","fishing",2010,"2",51957.0733050948
"75","transport",2010,"2",51957.0733050948
"76","fishing",2011,"2",53275.189046894
"77","transport",2011,"2",53275.189046894
"78","fishing",2012,"2",55135.3158065156
"79","transport",2012,"2",55135.3158065156
"80","fishing",2013,"2",57346.2597861607
"81","transport",2013,"2",57346.2597861607
"82","fishing",2014,"2",58973.281238467
"83","transport",2014,"2",58973.281238467
"84","transport",2001,"3",37089.7182844525
"85","transport",2002,"3",37675.7585861601
"86","transport",2003,"3",38515.7113595241
"87","transport",2004,"3",39333.6924386136
"88","transport",2005,"3",41632.3402908925
"89","transport",2006,"3",43262.213333488
"90","transport",2007,"3",45722.8647799856
"91","transport",2008,"3",44863.3171039947
"92","transport",2009,"3",45452.8682017812
"93","transport",2010,"3",44735.0227774467
"94","transport",2011,"3",45355.3742870416
"95","transport",2012,"3",47018.1430764892
"96","transport",2013,"3",50356.1603038111
"97","transport",2014,"3",52169.6668286182
"98","transport",2015,"3",52266.3755303564
"99","tourism",2004,"1",35649.54
"100","tourism",2005,"1",27821.82
"101","tourism",2006,"1",32372.02
"102","tourism",2007,"1",33766.24
"103","tourism",2008,"1",35161.45
"104","tourism",2009,"1",37630.43
"105","tourism",2010,"1",37258.71
"106","tourism",2011,"1",38216.4
"107","tourism",2012,"1",39199.33
"108","tourism",2013,"1",39755.9
"109","tourism",2014,"1",50309.4
"110","tourism",2008,"2",47297.4667649608
"111","tourism",2009,"2",50757.3070902406
"112","tourism",2010,"2",51957.0733050948
"113","tourism",2011,"2",53275.189046894
"114","tourism",2012,"2",55135.3158065156
"115","tourism",2013,"2",57346.2597861607
"116","tourism",2014,"2",58973.281238467
"117","tourism",2001,"3",37089.7182844525
"118","tourism",2002,"3",37675.7585861601
"119","tourism",2003,"3",38515.7113595241
"120","tourism",2004,"3",39333.6924386136
"121","tourism",2005,"3",41632.3402908925
"122","tourism",2006,"3",43262.213333488
"123","tourism",2007,"3",45722.8647799856
"124","tourism",2008,"3",44863.3171039947
"125","tourism",2009,"3",45452.8682017812
"126","tourism",2010,"3",44735.0227774467
"127","tourism",2011,"3",45355.3742870416
"128","tourism",2012,"3",47018.1430764892
"129","tourism",2013,"3",50356.1603038111
"130","tourism",2014,"3",52169.6668286182
"131","tourism",2015,"3",52266.3755303564
"132","tourism",2010,"4",25616.4103125721
"133","tourism",2011,"4",25009.034824565
"134","tourism",2012,"4",27377.0663331857
"135","tourism",2013,"4",26452.5026613459
"136","tourism",2014,"4",26671.5312570537
"137","tourism",2009,"5",39333.850063242
"138","tourism",2010,"5",40051.7919757988
"139","tourism",2011,"5",41008.504697143
"140","tourism",2012,"5",42130.3534633528
"141","tourism",2013,"5",43016.7841907656
"142","tourism",2014,"5",43061.6858650016
"143","tourism",2009,"6",45007.5196715344
"144","tourism",2010,"6",45962.219055936
"145","tourism",2011,"6",47546.3966909845
"146","tourism",2012,"6",49278.4339995515
"147","tourism",2013,"6",50925.2638598388
"148","tourism",2014,"6",50852.1697888886
"149","tourism",2008,"8",37959.4024411235
"150","tourism",2009,"8",37029.4604106301
"151","tourism",2010,"8",35884.4787809551
"152","tourism",2011,"8",38621.7435309852
"153","tourism",2012,"8",36793.5951800221
"154","tourism",2013,"8",38690.6945593585
"155","tourism",2008,"9",37959.4024411235
"156","tourism",2009,"9",37029.4604106301
"157","tourism",2010,"9",35884.4787809551
"158","tourism",2011,"9",38621.7435309852
"159","tourism",2012,"9",36793.5951800221
"160","tourism",2013,"9",38690.6945593585
