rgn_id,sector,year,value
1,transport,2004,519
1,hospitality,2004,465
1,transport,2004,304
1,hospitality,2004,133
1,transport,2005,383
1,hospitality,2005,481
1,transport,2005,273
1,hospitality,2005,264
1,transport,2006,423
1,hospitality,2006,504
1,transport,2006,265
1,hospitality,2006,167
1,transport,2007,450
1,hospitality,2007,516
1,transport,2007,284
1,hospitality,2007,169
1,transport,2008,472
1,hospitality,2008,575
1,transport,2008,304
1,hospitality,2008,174
1,transport,2009,478
1,hospitality,2009,550
1,transport,2009,356
1,hospitality,2009,179
1,transport,2010,563
1,hospitality,2010,540
1,transport,2010,337
1,hospitality,2010,172
1,transport,2011,546
1,hospitality,2011,541
1,transport,2011,346
1,hospitality,2011,176
1,transport,2012,573
1,hospitality,2012,560
1,transport,2012,358
1,hospitality,2012,185
1,transport,2013,628
1,hospitality,2013,534
1,transport,2013,352
1,hospitality,2013,189
1,transport,2014,630
1,hospitality,2014,719
1,transport,2014,361
1,hospitality,2014,172
2,fishing,2008,320
2,transport,2008,570
2,hospitality,2008,340
2,fishing,2009,67
2,transport,2009,608
2,hospitality,2009,325
2,fishing,2010,383
2,transport,2010,600
2,hospitality,2010,292
2,fishing,2011,425
2,transport,2011,683
2,hospitality,2011,283
2,fishing,2012,475
2,transport,2012,833
2,hospitality,2012,333
2,fishing,2013,458
2,transport,2013,958
2,hospitality,2013,483
2,fishing,2014,300
2,transport,2014,592
2,hospitality,2014,458
3,transport,2001,213
3,tourism,2001,85
3,hospitality,2001,185
3,transport,2002,256
3,tourism,2002,114
3,hospitality,2002,199
3,transport,2003,284
3,tourism,2003,128
3,hospitality,2003,185
3,transport,2004,312
3,tourism,2004,128
3,hospitality,2004,170
3,transport,2005,312
3,tourism,2005,128
3,hospitality,2005,170
3,transport,2006,256
3,tourism,2006,156
3,hospitality,2006,128
3,transport,2007,270
3,tourism,2007,142
3,hospitality,2007,142
3,transport,2008,270
3,tourism,2008,128
3,hospitality,2008,170
3,transport,2009,241
3,tourism,2009,114
3,hospitality,2009,114
3,transport,2010,256
3,tourism,2010,114
3,hospitality,2010,114
3,transport,2011,298
3,tourism,2011,128
3,hospitality,2011,170
3,transport,2012,241
3,tourism,2012,128
3,hospitality,2012,156
3,transport,2013,256
3,tourism,2013,114
3,hospitality,2013,156
3,transport,2014,199
3,tourism,2014,114
3,hospitality,2014,142
3,transport,2015,199
3,tourism,2015,128
3,hospitality,2015,142
4,fishing,2010,81553
4,hospitality,2010,20556
4,transport,2010,139621
4,fishing,2011,81898
4,hospitality,2011,20900
4,transport,2011,140898
4,fishing,2012,80479
4,hospitality,2012,22679
4,transport,2012,141925
4,fishing,2013,77682
4,hospitality,2013,24290
4,transport,2013,141257
4,fishing,2014,76700
4,hospitality,2014,24855
4,transport,2014,138693
5,transport,2008,110
5,hospitality,2008,137
5,education,2008,143
5,tourism,2008,30
5,transport,2009,99
5,hospitality,2009,134
5,education,2009,124
5,tourism,2009,40
5,transport,2010,103
5,hospitality,2010,146
5,education,2010,117
5,tourism,2010,35
5,transport,2011,104
5,hospitality,2011,190
5,education,2011,138
5,tourism,2011,39
5,transport,2012,111
5,hospitality,2012,212
5,education,2012,150
5,tourism,2012,48
5,transport,2013,113
5,hospitality,2013,217
5,education,2013,153
5,tourism,2013,45
5,transport,2014,98
5,hospitality,2014,245
5,education,2014,163
5,tourism,2014,70
6,fishing,2009,7188
6,food,2009,6119
6,tourism,2009,532
6,transport,2009,3284
6,fishing,2010,6721
6,food,2010,5982
6,tourism,2010,503
6,transport,2010,3522
6,fishing,2011,6839
6,food,2011,6124
6,tourism,2011,462
6,transport,2011,3269
6,fishing,2012,6498
6,food,2012,6665
6,tourism,2012,433
6,transport,2012,3652
6,fishing,2013,6360
6,food,2013,6626
6,tourism,2013,508
6,transport,2013,3833
6,fishing,2014,6395
6,food,2014,6629
6,tourism,2014,563
6,transport,2014,3660
8,fishing,2008,6666.4
8,hospitality,2008,1575.2
8,transport,2008,3234.4
8,fishing,2009,6022.4
8,hospitality,2009,1470.4
8,transport,2009,3389.6
8,fishing,2010,5548
8,hospitality,2010,1454.4
8,transport,2010,3426.4
8,fishing,2011,5342.4
8,hospitality,2011,1445.6
8,transport,2011,3329.6
8,fishing,2012,5654.4
8,hospitality,2012,1416
8,transport,2012,3282.4
8,fishing,2013,5455.2
8,hospitality,2013,1472.8
8,transport,2013,3189.6
8,fishing,2014,5656.8
8,hospitality,2014,1412
8,transport,2014,3072.8
9,fishing,2008,1666.6
9,hospitality,2008,393.8
9,transport,2008,808.6
9,fishing,2009,1505.6
9,hospitality,2009,367.6
9,transport,2009,847.4
9,fishing,2010,1387
9,hospitality,2010,363.6
9,transport,2010,856.6
9,fishing,2011,1335.6
9,hospitality,2011,361.4
9,transport,2011,832.4
9,fishing,2012,1413.6
9,hospitality,2012,354
9,transport,2012,820.6
9,fishing,2013,1363.8
9,hospitality,2013,368.2
9,transport,2013,797.4
9,fishing,2014,1414.2
9,hospitality,2014,353
9,transport,2014,768.2
