rgn_id,year,sector,value
1,2014,hospitality,50309.40
1,2014,transport,61523.20
1,2013,hospitality,39755.90
1,2013,transport,61661.88
1,2012,hospitality,39199.33
1,2012,transport,61080.43
1,2011,hospitality,38216.40
1,2011,transport,57992.67
1,2010,hospitality,37258.71
1,2010,transport,56823.51
1,2009,hospitality,37630.43
1,2009,transport,63663.85
1,2008,hospitality,35161.45
1,2008,transport,58216.31
1,2007,hospitality,33766.24
1,2007,transport,56591.56
1,2006,hospitality,32372.02
1,2006,transport,54890.33
1,2005,hospitality,27821.82
1,2005,transport,52934.55
1,2004,hospitality,35649.54
1,2004,transport,49153.76
