rgn_id,sector,year,value,,,,,,,
2,fishing,2008,58383.52,,,,,,,
2,transport,2008,58383.52,,,,,,,
2,hospitality,2008,58383.52,,,,,,,
2,fishing,2009,61056.32,,,,,,,
2,transport,2009,61056.32,,,,,,,
2,hospitality,2009,61056.32,,,,,,,
2,fishing,2010,63379.68,,,,,,,
2,transport,2010,63379.68,,,,,,, 
2,hospitality,2010,63379.68,,,,,,, 
2,fishing,2011,66056.12,,,,,,, 
2,transport,2011,66056.12,,,,,,, 
2,hospitality,2011,66056.12,,,,,,, 
2,fishing,2012,68621.8,,,,,,, 
2,transport,2012,68621.8,,,,,,, 
2,hospitality,2012,68621.8,,,,,,, 
2,fishing,2013,69703.92,,,,,,, 
2,transport,2013,69703.92,,,,,,, 
2,hospitality,2013,69703.92,,,,,,, 
2,fishing,2014,72706.92,,,,,,,
2,transport,2014,72706.92,,,,,,, 
2,hospitality,2014,72706.92,,,,,,, 
3,transport,2001,45234.58333,,,,,,, 
3,tourism,2001,45234.58333,,,,,,,
3,hospitality,2001,45234.58333,,,,,,, 
3,transport,2002,46316.05333,,,,,,, 
3,tourism,2002,46316.05333,,,,,,, 
3,hospitality,2002,46316.05333,,,,,,, 
3,transport,2003,47234.24333,,,,,,, 
3,tourism,2003,47234.24333,,,,,,, 
3,hospitality,2003,47234.24333,,,,,,, 
3,transport,2004,48486.01333,,,,,,, 
3,tourism,2004,48486.01333,,,,,,, 
3,hospitality,2004,48486.01333,,,,,,, 
3,transport,2005,50526.84,,,,,,, 
3,tourism,2005,50526.84,,,,,,,
3,hospitality,2005,50526.84,,,,,,, 
3,transport,2006,52218.4,,,,,,, 
3,tourism,2006,52218.4,,,,,,, 
3,hospitality,2006,52218.4,,,,,,, 
3,transport,2007,55498.73333,,,,,,, 
3,tourism,2007,55498.73333,,,,,,, 
3,hospitality,2007,55498.73333,,,,,,, 
3,transport,2008,55378.83,,,,,,, 
3,tourism,2008,55378.83,,,,,,, 
3,hospitality,2008,55378.83,,,,,,, 
3,transport,2009,54675.57333,,,,,,, 
3,tourism,2009,54675.57333,,,,,,,
3,hospitality,2009,54675.57333,,,,,,, 
3,transport,2010,54569.88333,,,,,,, 
3,tourism,2010,54569.88333,,,,,,, 
3,hospitality,2010,54569.88333,,,,,,, 
3,transport,2011,56236.31,,,,,,, 
3,tourism,2011,56236.31,,,,,,, 
3,hospitality,2011,56236.31,,,,,,, 
3,transport,2012,58519.11,,,,,,, 
3,tourism,2012,58519.11,,,,,,, 
3,hospitality,2012,58519.11,,,,,,, 
3,transport,2013,61207.51,,,,,,, 
3,tourism,2013,61207.51,,,,,,,
3,hospitality,2013,61207.51,,,,,,, 
3,transport,2014,64318.88667,,,,,,, 
3,tourism,2014,64318.88667,,,,,,, 
3,hospitality,2014,64318.88667,,,,,,, 
3,transport,2015,65252.11333,,,,,,, 
3,tourism,2015,65252.11333,,,,,,, 
3,hospitality,2015,65252.11333,,,,,,, 
,,, ,,,,,,, 
,,, ,,,,,,, 
,,, ,,,,,,, 
,,, ,,,,,,, 
,,, ,,,,,,,
,,, ,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,,
,,,,,,,,,, 
,,,,,,,,,,
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,,
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
,,,,,,,,,, 
