rgn_id,sector,year,value
8,fishing,2008,193522
8,hospitality,2008,193522
8,transport,2008,193522
9,fishing,2008,193522
9,hospitality,2008,193522
9,transport,2008,193522
8,fishing,2009,198510
8,hospitality,2009,198510
8,transport,2009,198510
9,fishing,2009,198510
9,hospitality,2009,198510
9,transport,2009,198510
8,fishing,2010,201817
8,hospitality,2010,201817
8,transport,2010,201817
9,fishing,2010,201817
9,hospitality,2010,201817
9,transport,2010,201817
8,fishing,2011,207349
8,hospitality,2011,207349
8,transport,2011,207349
9,fishing,2011,207349
9,hospitality,2011,207349
9,transport,2011,207349
8,fishing,2012,213126
8,hospitality,2012,213126
8,transport,2012,213126
9,fishing,2012,213126
9,hospitality,2012,213126
9,transport,2012,213126
8,fishing,2013,217299
8,hospitality,2013,217299
8,transport,2013,217299
9,fishing,2013,217299
9,hospitality,2013,217299
9,transport,2013,217299
8,fishing,2014,218491
8,hospitality,2014,218491
8,transport,2014,218491
9,fishing,2014,218491
9,hospitality,2014,218491
9,transport,2014,218491
