rgn_id,year,species,totalcatch
Canada,1950,Baleen whales nei,314
Canada,1951,Baleen whales nei,437
Canada,1952,Baleen whales nei,465
Canada,1953,Baleen whales nei,539
Canada,1954,Baleen whales nei,630
Canada,1955,Baleen whales nei,630
Canada,1956,Baleen whales nei,375
Canada,1957,Baleen whales nei,0
Canada,1958,Baleen whales nei,774
Canada,1959,Baleen whales nei,869
Canada,1960,Baleen whales nei,0
Canada,1961,Baleen whales nei,0
Canada,1962,Baleen whales nei,713
Canada,1963,Baleen whales nei,578
Canada,1964,Baleen whales nei,880
Canada,1965,Baleen whales nei,865
Canada,1966,Baleen whales nei,717
Canada,1967,Baleen whales nei,495
Canada,1968,Baleen whales nei,0
Canada,1969,Baleen whales nei,0
Canada,1970,Baleen whales nei,0
Canada,1971,Baleen whales nei,0
Canada,1972,Baleen whales nei,0
Canada,1973,Baleen whales nei,0
Canada,1974,Baleen whales nei,0
Canada,1975,Baleen whales nei,1
Canada,1976,Baleen whales nei,0
Canada,1977,Baleen whales nei,0
Canada,1978,Baleen whales nei,0
Canada,1979,Baleen whales nei,0
Canada,1980,Baleen whales nei,0
Canada,1981,Baleen whales nei,0
Canada,1982,Baleen whales nei,0
Canada,1983,Baleen whales nei,0
Canada,1984,Baleen whales nei,0
Canada,1985,Baleen whales nei,0
Canada,1986,Baleen whales nei,0
Canada,1987,Baleen whales nei,0
Canada,1988,Baleen whales nei,0
Canada,1989,Baleen whales nei,0
Canada,1990,Baleen whales nei,0
Canada,1991,Baleen whales nei,2
Canada,1992,Baleen whales nei,0
Canada,1993,Baleen whales nei,0
Canada,1994,Baleen whales nei,0
Canada,1995,Baleen whales nei,0
Canada,1996,Baleen whales nei,1
Canada,1997,Baleen whales nei,0
Canada,1998,Baleen whales nei,1
Canada,1999,Baleen whales nei,0
Canada,2000,Baleen whales nei,0
Canada,2001,Baleen whales nei,0
Canada,2002,Baleen whales nei,0
Canada,2003,Baleen whales nei,0
Canada,2004,Baleen whales nei,0
Canada,2005,Baleen whales nei,0
Canada,2006,Baleen whales nei,0
Canada,2007,Baleen whales nei,0
Canada,2008,Baleen whales nei,0
Canada,2009,Baleen whales nei,0
Canada,2010,Baleen whales nei,0
Canada,2011,Baleen whales nei,0
Canada,2012,Baleen whales nei,0
Canada,2013,Baleen whales nei,0
Canada,1970,Bearded seal,0
Canada,1971,Bearded seal,0
Canada,1972,Bearded seal,0
Canada,1973,Bearded seal,0
Canada,1974,Bearded seal,0
Canada,1975,Bearded seal,0
Canada,1976,Bearded seal,0
Canada,1977,Bearded seal,0
Canada,1978,Bearded seal,0
Canada,1979,Bearded seal,0
Canada,1980,Bearded seal,0
Canada,1981,Bearded seal,0
Canada,1982,Bearded seal,0
Canada,1983,Bearded seal,0
Canada,1984,Bearded seal,0
Canada,1985,Bearded seal,0
Canada,1986,Bearded seal,0
Canada,1987,Bearded seal,0
Canada,1988,Bearded seal,0
Canada,1989,Bearded seal,0
Canada,1990,Bearded seal,0
