"","Country","Year","Species","totalcatch"
"1","Canada","1950","Harp seal",181377
"2","Canada","1950","Hooded seal",1663
"3","Canada","1951","Harp seal",321581
"4","Canada","1951","Hooded seal",5182
"5","Canada","1952","Harp seal",177071
"6","Canada","1952","Hooded seal",919
"7","Canada","1953","Harp seal",158966
"8","Canada","1953","Hooded seal",2135
"9","Canada","1954","Harp seal",136720
"10","Canada","1954","Hooded seal",1243
"11","Canada","1955","Harp seal",168265
"12","Canada","1955","Hooded seal",2388
"13","Canada","1956","Harp seal",199467
"14","Canada","1956","Hooded seal",1759
"15","Canada","1957","Harp seal",122483
"16","Canada","1957","Hooded seal",73
"17","Canada","1958","Harp seal",165895
"18","Canada","1958","Hooded seal",801
"19","Canada","1959","Harp seal",102419
"20","Canada","1959","Hooded seal",1397
"21","Canada","1960","Harp seal",147993
"22","Canada","1960","Hooded seal",242
"23","Canada","1961","Harp seal",64526
"24","Canada","1961","Hooded seal",2487
"25","Canada","1962","Harp seal",165482
"26","Canada","1962","Hooded seal",529
"27","Canada","1963","Harp seal",186383
"28","Canada","1963","Hooded seal",750
"29","Canada","1964","Harp seal",176402
"30","Canada","1964","Hooded seal",1511
"31","Canada","1965","Harp seal",170758
"32","Canada","1965","Hooded seal",2079
"33","Canada","1966","Harp seal",173062
"34","Canada","1966","Hooded seal",5766
"35","Canada","1967","Harp seal",149673
"36","Canada","1967","Hooded seal",1361
"37","Canada","1968","Harp seal",108221
"38","Canada","1968","Hooded seal",147
"39","Canada","1969","Harp seal",171398
"40","Canada","1969","Hooded seal",900
"41","Canada","1970","Harp seal",142295
"42","Canada","1970","Hooded seal",2869
"43","Canada","1971","Harp seal",132660
"44","Canada","1971","Hooded seal",432
"45","Canada","1972","Harp seal",76583
"46","Canada","1972","Hooded seal",422
"47","Canada","1973","Harp seal",65542
"48","Canada","1973","Hooded seal",312
"49","Canada","1974","Harp seal",92050
"50","Canada","1974","Hooded seal",203
"51","Canada","1975","Harp seal",114202
"52","Canada","1975","Hooded seal",5385
"53","Canada","1975","Seals nei",3332
"54","Canada","1976","Harp seal",119519
"55","Canada","1976","Hooded seal",3867
"56","Canada","1976","Seals nei",3761
"57","Canada","1977","Harp seal",119519
"58","Canada","1977","Hooded seal",6044
"59","Canada","1977","Seals nei",2491
"60","Canada","1978","Harp seal",145469
"61","Canada","1978","Hooded seal",4189
"62","Canada","1978","Seals nei",2879
"63","Canada","1979","Harp seal",140253
"64","Canada","1979","Hooded seal",6819
"65","Canada","1979","Seals nei",3362
"66","Canada","1980","Harp seal",149313
"67","Canada","1980","Hooded seal",7409
"68","Canada","1980","Seals nei",9773
"69","Canada","1981","Harp seal",175450
"70","Canada","1981","Hooded seal",8309
"71","Canada","1981","Seals nei",8993
"72","Canada","1982","Harp seal",142501
"73","Canada","1982","Hooded seal",5831
"74","Canada","1982","Seals nei",5204
"75","Canada","1983","Harp seal",57889
"76","Canada","1983","Hooded seal",128
"77","Canada","1983","Seals nei",6492
"78","Canada","1984","Harp seal",30900
"79","Canada","1984","Hooded seal",444
"80","Canada","1984","Seals nei",1993
"81","Canada","1985","Harp seal",19030
"82","Canada","1985","Hooded seal",784
"83","Canada","1985","Seals nei",1994
"84","Canada","1986","Harp seal",25934
"85","Canada","1986","Hooded seal",33
"86","Canada","1986","Seals nei",2874
