"","Country","Year","Species","totalcatch"
"1","Norway","1950","Harp seal",161442
"2","Norway","1950","Hooded seal",68095
"3","Norway","1951","Harp seal",222148
"4","Norway","1951","Hooded seal",91607
"5","Norway","1952","Harp seal",194191
"6","Norway","1952","Hooded seal",40730
"7","Norway","1953","Harp seal",160260
"8","Norway","1953","Hooded seal",29455
"9","Norway","1954","Harp seal",168460
"10","Norway","1954","Hooded seal",68450
"11","Norway","1955","Harp seal",221588
"12","Norway","1955","Hooded seal",59894
"13","Norway","1956","Harp seal",228003
"14","Norway","1956","Hooded seal",52930
"15","Norway","1957","Harp seal",162039
"16","Norway","1957","Hooded seal",22297
"17","Norway","1958","Harp seal",179105
"18","Norway","1958","Hooded seal",66489
"19","Norway","1959","Harp seal",256971
"20","Norway","1959","Hooded seal",30648
"21","Norway","1960","Harp seal",170016
"22","Norway","1960","Hooded seal",37497
"23","Norway","1961","Harp seal",142339
"24","Norway","1961","Hooded seal",73386
"25","Norway","1962","Harp seal",191677
"26","Norway","1962","Hooded seal",46384
"27","Norway","1963","Harp seal",166361
"28","Norway","1963","Hooded seal",27965
"29","Norway","1964","Bearded seal",4765
"30","Norway","1964","Harp seal",215159
"31","Norway","1964","Hooded seal",38349
"32","Norway","1964","Ringed seal",1040
"33","Norway","1965","Bearded seal",905
"34","Norway","1965","Harp seal",97765
"35","Norway","1965","Hooded seal",41109
"36","Norway","1965","Ringed seal",278
"37","Norway","1966","Bearded seal",8
"38","Norway","1966","Harp seal",188952
"39","Norway","1966","Hooded seal",59746
"40","Norway","1966","Ringed seal",30
"41","Norway","1967","Bearded seal",48
"42","Norway","1967","Harp seal",220122
"43","Norway","1967","Hooded seal",55200
"44","Norway","1967","Ringed seal",23
"45","Norway","1968","Bearded seal",225
"46","Norway","1968","Harp seal",124700
"47","Norway","1968","Hooded seal",15681
"48","Norway","1968","Ringed seal",28
"49","Norway","1969","Bearded seal",11
"50","Norway","1969","Harp seal",135038
"51","Norway","1969","Hooded seal",40370
"52","Norway","1969","Ringed seal",7
"53","Norway","1970","Bearded seal",596
"54","Norway","1970","Harp seal",146260
"55","Norway","1970","Hooded seal",42036
"56","Norway","1970","Ringed seal",16
"57","Norway","1971","Harp seal",118412
"58","Norway","1971","Hooded seal",44993
"59","Norway","1972","Bearded seal",122
"60","Norway","1972","Harp seal",80920
"61","Norway","1972","Hooded seal",32304
"62","Norway","1972","Ringed seal",2
"63","Norway","1973","Bearded seal",747
"64","Norway","1973","Harp seal",82466
"65","Norway","1973","Hooded seal",32704
"66","Norway","1973","Ringed seal",1
"67","Norway","1974","Bearded seal",50
"68","Norway","1974","Harp seal",77664
"69","Norway","1974","Hooded seal",36191
"70","Norway","1975","Bearded seal",2
"71","Norway","1975","Harp seal",75930
"72","Norway","1975","Hooded seal",36182
"73","Norway","1975","Ringed seal",5
"74","Norway","1976","Bearded seal",8
"75","Norway","1976","Harp seal",70868
"76","Norway","1976","Hooded seal",15421
"77","Norway","1976","Ringed seal",8
"78","Norway","1977","Bearded seal",15
"79","Norway","1977","Harp seal",56682
"80","Norway","1977","Hooded seal",21420
"81","Norway","1977","Ringed seal",19
"82","Norway","1978","Bearded seal",1
"83","Norway","1978","Harp seal",35537
"84","Norway","1978","Hooded seal",22358
"85","Norway","1978","Ringed seal",3
"86","Norway","1979","Harp seal",46655
"87","Norway","1979","Hooded seal",28568
"88","Norway","1979","Ringed seal",2
"89","Norway","1980","Bearded seal",1
"90","Norway","1980","Harp seal",45398
"91","Norway","1980","Hooded seal",15475
"92","Norway","1981","Bearded seal",1
"93","Norway","1981","Harp seal",51629
"94","Norway","1981","Hooded seal",17105
"95","Norway","1981","Ringed seal",10
"96","Norway","1982","Harp seal",51386
"97","Norway","1982","Hooded seal",18013
"98","Norway","1983","Harp seal",13407
"99","Norway","1983","Hooded seal",86
"100","Norway","1984","Harp seal",10854
"101","Norway","1984","Hooded seal",582
"102","Norway","1985","Harp seal",19564
"103","Norway","1985","Hooded seal",338
"104","Norway","1986","Harp seal",19038
"105","Norway","1986","Hooded seal",2899
"106","Norway","1987","Harp seal",30444
"107","Norway","1987","Hooded seal",7794
"108","Norway","1988","Harp seal",26261
"109","Norway","1988","Hooded seal",6149
"110","Norway","1989","Harp seal",13842
"111","Norway","1989","Hooded seal",181
"112","Norway","1990","Harp seal",15030
"113","Norway","1990","Hooded seal",423
"114","Norway","1991","Harp seal",14367
"115","Norway","1991","Hooded seal",352
"116","Norway","1992","Harp seal",13321
"117","Norway","1992","Hooded seal",755
"118","Norway","1993","Harp seal",12278
"119","Norway","1993","Hooded seal",384
"120","Norway","1994","Harp seal",17621
"121","Norway","1994","Hooded seal",492
"122","Norway","1995","Harp seal",15048
"123","Norway","1995","Hooded seal",933
"124","Norway","1996","Harp seal",15948
"125","Norway","1996","Hooded seal",811
"126","Norway","1997","Harp seal",7163
"127","Norway","1997","Hooded seal",2934
"128","Norway","1998","Harp seal",2716
"129","Norway","1998","Hooded seal",6351
"130","Norway","1999","Harp seal",1953
"131","Norway","1999","Hooded seal",4446
"132","Norway","2000","Harp seal",18700
"133","Norway","2000","Hooded seal",1936
"134","Norway","2001","Harp seal",8192
"135","Norway","2001","Hooded seal",3820
"136","Norway","2002","Harp seal",3580
"137","Norway","2002","Hooded seal",7116
"138","Norway","2003","Harp seal",7575
"139","Norway","2003","Hooded seal",5295
"140","Norway","2004","Harp seal",9895
"141","Norway","2004","Hooded seal",4851
"142","Norway","2005","Harp seal",17771
"143","Norway","2005","Hooded seal",3826
"144","Norway","2006","Harp seal",13390
"145","Norway","2006","Hooded seal",3647
"146","Norway","2007","Harp seal",13981
"147","Norway","2007","Hooded seal",62
"148","Norway","2008","Harp seal",1263
"149","Norway","2009","Harp seal",8035
"150","Norway","2009","Hooded seal",402
"151","Norway","2010","Harp seal",4793
"152","Norway","2010","Hooded seal",178
"153","Norway","2011","Harp seal",10334
"154","Norway","2011","Hooded seal",21
"155","Norway","2012","Harp seal",5593
"156","Norway","2012","Hooded seal",21
"157","Norway","2013","Harp seal",15939
"158","Norway","2013","Hooded seal",22
