"","Country","Year","Species","totalcatch"
"1","Russian Federation","1988","Bearded seal",76
"2","Russian Federation","1988","Harp seal",61901
"3","Russian Federation","1988","Hooded seal",3038
"4","Russian Federation","1988","Ringed seal",2398
"5","Russian Federation","1988","White whale",7
"6","Russian Federation","1989","Bearded seal",106
"7","Russian Federation","1989","Harp seal",33464
"8","Russian Federation","1989","Ringed seal",777
"9","Russian Federation","1989","White whale",27
"10","Russian Federation","1990","Bearded seal",46
"11","Russian Federation","1990","Harp seal",33241
"12","Russian Federation","1990","Hooded seal",813
"13","Russian Federation","1990","Ringed seal",797
"14","Russian Federation","1991","Bearded seal",63
"15","Russian Federation","1991","Harp seal",34308
"16","Russian Federation","1991","Hooded seal",2190
"17","Russian Federation","1991","Ringed seal",728
"18","Russian Federation","1992","Bearded seal",34
"19","Russian Federation","1992","Harp seal",32973
"20","Russian Federation","1992","Hooded seal",8038
"21","Russian Federation","1992","Ringed seal",781
"22","Russian Federation","1993","Bearded seal",21
"23","Russian Federation","1993","Harp seal",31500
"24","Russian Federation","1993","Ringed seal",530
"25","Russian Federation","1994","Bearded seal",31
"26","Russian Federation","1994","Harp seal",35272
"27","Russian Federation","1994","Hooded seal",4252
"28","Russian Federation","1994","Ringed seal",628
"29","Russian Federation","1995","Bearded seal",15
"30","Russian Federation","1995","Harp seal",29644
"31","Russian Federation","1995","Ringed seal",399
"32","Russian Federation","1996","Bearded seal",6
"33","Russian Federation","1996","Harp seal",31528
"34","Russian Federation","1996","Ringed seal",155
"35","Russian Federation","1997","Bearded seal",24
"36","Russian Federation","1997","Harp seal",31380
"37","Russian Federation","1997","Ringed seal",705
"38","Russian Federation","1998","Bearded seal",30
"39","Russian Federation","1998","Harp seal",13370
"40","Russian Federation","1998","Ringed seal",532
"41","Russian Federation","1999","Bearded seal",29
"42","Russian Federation","1999","Harp seal",34850
"43","Russian Federation","1999","Ringed seal",599
"44","Russian Federation","2000","Bearded seal",24
"45","Russian Federation","2000","Harp seal",38413
"46","Russian Federation","2000","Ringed seal",672
"47","Russian Federation","2001","Bearded seal",26
"48","Russian Federation","2001","Harp seal",39116
"49","Russian Federation","2001","Ringed seal",687
"50","Russian Federation","2002","Bearded seal",19
"51","Russian Federation","2002","Harp seal",34187
"52","Russian Federation","2002","Ringed seal",581
"53","Russian Federation","2002","White whale",5
"54","Russian Federation","2003","Bearded seal",23
"55","Russian Federation","2003","Harp seal",37939
"56","Russian Federation","2003","Ringed seal",423
"57","Russian Federation","2004","Bearded seal",8
"58","Russian Federation","2004","Ringed seal",281
"59","Russian Federation","2005","Harp seal",14277
"60","Russian Federation","2005","Ringed seal",473
"61","Russian Federation","2005","White whale",1
"62","Russian Federation","2006","Bearded seal",1
"63","Russian Federation","2006","Harp seal",7107
"64","Russian Federation","2006","Ringed seal",632
"65","Russian Federation","2007","Harp seal",5476
"66","Russian Federation","2007","Ringed seal",146
"67","Russian Federation","2008","Harp seal",5333
"68","Russian Federation","2008","Ringed seal",128
"69","Russian Federation","2009","Ringed seal",85
"70","Russian Federation","2010","Harp seal",10
"71","Russian Federation","2011","White whale",7
"72","Russian Federation","2012","Bearded seal",1
"73","Russian Federation","2012","Harp seal",9
"74","Russian Federation","2012","Ringed seal",87
"75","Russian Federation","2012","White whale",3
"76","Russian Federation","2013","Bearded seal",3
