"","year","rgn_id","sector","value"
"1",2001,3,"tourism",74179.43656
"2",2001,3,"transport",37089.71828
"3",2002,3,"tourism",75351.51718
"4",2002,3,"transport",37675.75859
"5",2003,3,"tourism",77031.42272
"6",2003,3,"transport",38515.71136
"7",2004,1,"tourism",35649.54
"8",2004,1,"transport",49153.76
"9",2004,3,"tourism",78667.38488
"10",2004,3,"transport",39333.69244
"11",2005,1,"tourism",27821.82
"12",2005,1,"transport",52934.55
"13",2005,3,"tourism",83264.68058
"14",2005,3,"transport",41632.34029
"15",2006,1,"tourism",32372.02
"16",2006,1,"transport",54890.33
"17",2006,3,"tourism",86524.42666
"18",2006,3,"transport",43262.21333
"19",2007,1,"tourism",33766.24
"20",2007,1,"transport",56591.56
"21",2007,3,"tourism",91445.72956
"22",2007,3,"transport",45722.86478
"23",2008,1,"tourism",35161.45
"24",2008,1,"transport",58216.31
"25",2008,2,"fishing",47297.46676
"26",2008,2,"tourism",47297.46676
"27",2008,2,"transport",47297.46676
"28",2008,3,"tourism",89726.6342
"29",2008,3,"transport",44863.3171
"30",2008,8,"fishing",37959.40244
"31",2008,8,"tourism",37959.40244
"32",2008,8,"transport",37959.40244
"33",2008,9,"fishing",37959.40244
"34",2008,9,"tourism",37959.40244
"35",2008,9,"transport",37959.40244
"36",2009,1,"tourism",37630.43
"37",2009,1,"transport",63663.85
"38",2009,2,"fishing",50757.30709
"39",2009,2,"tourism",50757.30709
"40",2009,2,"transport",50757.30709
"41",2009,3,"tourism",90905.7364
"42",2009,3,"transport",45452.8682
"43",2009,5,"education",48758.14631
"44",2009,5,"tourism",82647.73701
"45",2009,5,"transport",47552.58775
"46",2009,6,"fishing",46748.88204
"47",2009,6,"tourism",45007.51967
"48",2009,6,"transport",47552.58775
"49",2009,8,"fishing",37029.46041
"50",2009,8,"tourism",37029.46041
"51",2009,8,"transport",37029.46041
"52",2009,9,"fishing",37029.46041
"53",2009,9,"tourism",37029.46041
"54",2009,9,"transport",37029.46041
"55",2010,1,"tourism",37258.71
"56",2010,1,"transport",56823.51
"57",2010,2,"fishing",51957.07331
"58",2010,2,"tourism",51957.07331
"59",2010,2,"transport",51957.07331
"60",2010,3,"tourism",89470.04556
"61",2010,3,"transport",44735.02278
"62",2010,4,"fishing",25616.41031
"63",2010,4,"tourism",25616.41031
"64",2010,4,"transport",25616.41031
"65",2010,5,"education",50625.05287
"66",2010,5,"tourism",84597.12783
"67",2010,5,"transport",48893.14317
"68",2010,6,"fishing",47827.35258
"69",2010,6,"tourism",45962.21906
"70",2010,6,"transport",48893.14317
"71",2010,8,"fishing",35884.47878
"72",2010,8,"tourism",35884.47878
"73",2010,8,"transport",35884.47878
"74",2010,9,"fishing",35884.47878
"75",2010,9,"tourism",35884.47878
"76",2010,9,"transport",35884.47878
"77",2011,1,"tourism",38216.4
"78",2011,1,"transport",57992.67
"79",2011,2,"fishing",53275.18905
"80",2011,2,"tourism",53275.18905
"81",2011,2,"transport",53275.18905
"82",2011,3,"tourism",90710.74858
"83",2011,3,"transport",45355.37429
"84",2011,4,"fishing",25009.03482
"85",2011,4,"tourism",25009.03482
"86",2011,4,"transport",25009.03482
"87",2011,5,"education",52220.90198
"88",2011,5,"tourism",87212.91303
"89",2011,5,"transport",50751.77175
"90",2011,6,"fishing",50217.54257
"91",2011,6,"tourism",47546.39669
"92",2011,6,"transport",50751.77175
"93",2011,8,"fishing",38621.74353
"94",2011,8,"tourism",38621.74353
"95",2011,8,"transport",38621.74353
"96",2011,9,"fishing",38621.74353
"97",2011,9,"tourism",38621.74353
"98",2011,9,"transport",38621.74353
"99",2012,1,"tourism",39199.33
"100",2012,1,"transport",61080.43
"101",2012,2,"fishing",55135.31581
"102",2012,2,"tourism",55135.31581
"103",2012,2,"transport",55135.31581
"104",2012,3,"tourism",94036.28616
"105",2012,3,"transport",47018.14308
"106",2012,4,"fishing",27377.06633
"107",2012,4,"tourism",27377.06633
"108",2012,4,"transport",27377.06633
"109",2012,5,"education",54724.29867
"110",2012,5,"tourism",89790.35413
"111",2012,5,"transport",52200.60529
"112",2012,6,"fishing",51005.17158
"113",2012,6,"tourism",49278.434
"114",2012,6,"transport",52200.60529
"115",2012,8,"fishing",36793.59518
"116",2012,8,"tourism",36793.59518
"117",2012,8,"transport",36793.59518
"118",2012,9,"fishing",36793.59518
"119",2012,9,"tourism",36793.59518
"120",2012,9,"transport",36793.59518
"121",2013,1,"tourism",39755.9
"122",2013,1,"transport",61661.88
"123",2013,2,"fishing",57346.25979
"124",2013,2,"tourism",57346.25979
"125",2013,2,"transport",57346.25979
"126",2013,3,"tourism",100712.3206
"127",2013,3,"transport",50356.1603
"128",2013,4,"fishing",26452.50266
"129",2013,4,"tourism",26452.50266
"130",2013,4,"transport",26452.50266
"131",2013,5,"education",55566.88947
"132",2013,5,"tourism",92302.04075
"133",2013,5,"transport",53842.8571
"134",2013,6,"fishing",52649.29623
"135",2013,6,"tourism",50925.26386
"136",2013,6,"transport",53842.8571
"137",2013,8,"fishing",38690.69456
"138",2013,8,"tourism",38690.69456
"139",2013,8,"transport",38690.69456
"140",2013,9,"fishing",38690.69456
"141",2013,9,"tourism",38690.69456
"142",2013,9,"transport",38690.69456
"143",2014,1,"tourism",50309.4
"144",2014,1,"transport",61523.2
"145",2014,2,"fishing",58973.28124
"146",2014,2,"tourism",58973.28124
"147",2014,2,"transport",58973.28124
"148",2014,3,"tourism",104339.33366
"149",2014,3,"transport",52169.66683
"150",2014,4,"fishing",26671.53126
"151",2014,4,"tourism",26671.53126
"152",2014,4,"transport",26671.53126
"153",2014,5,"education",55860.33803
"154",2014,5,"tourism",91688.00311
"155",2014,5,"transport",53805.7049
"156",2014,6,"fishing",53805.7049
"157",2014,6,"tourism",50852.16979
"158",2014,6,"transport",53805.7049
"159",2015,3,"tourism",104532.75106
"160",2015,3,"transport",52266.37553
"161",2015,5,"education",53977.54975
"162",2015,5,"tourism",89472.99062
"163",2015,5,"transport",52998.36517
"164",2015,6,"fishing",52753.56903
"165",2015,6,"tourism",49816.0153
"166",2015,6,"transport",52998.36517
